PurchaseOrderID,ProductID,UnitPrice,LineTotal,Name,ProductNumber,DaysToManufacture,
1,1,50.26,201.04,Adjustable Race,AR-5381,0,
2,359,45.12,135.36,Thin-Jam Hex Nut 9,HJ-1213,0,
2,360,45.5805,136.7415,Thin-Jam Hex Nut 10,HJ-1220,0,
3,530,16.086,8847.3,Seat Post,SP-2981,0,
4,4,57.0255,171.0765,Headset Ball Bearings,BE-2908,0,
5,512,37.086,20397.3,HL Road Rim,RM-R800,0,
6,513,26.5965,14628.075,Touring Rim,RM-T801,0,
7,317,27.0585,14882.175,LL Crankarm,CA-5965,0,
7,318,33.579,18468.45,ML Crankarm,CA-6738,0,
7,319,46.0635,25334.925,HL Crankarm,CA-7457,0,
8,403,47.4705,142.4115,External Lock Washer 3,LE-1000,0,
8,404,45.3705,136.1115,External Lock Washer 4,LE-1200,0,
8,405,49.644,148.932,External Lock Washer 9,LE-1201,0,
8,406,45.3705,136.1115,External Lock Washer 5,LE-1400,0,
8,407,43.2705,129.8115,External Lock Washer 7,LE-3800,0,
9,422,47.523,142.569,Thin-Jam Lock Nut 9,LJ-1213,0,
9,423,45.423,136.269,Thin-Jam Lock Nut 10,LJ-1220,0,
9,424,49.6965,149.0895,Thin-Jam Lock Nut 1,LJ-1420,0,
9,425,45.423,136.269,Thin-Jam Lock Nut 2,LJ-1428,0,
9,426,43.323,129.969,Thin-Jam Lock Nut 15,LJ-3410,0,
10,320,47.4705,142.4115,Chainring Bolts,CB-2903,0,
10,321,42.798,128.394,Chainring Nut,CN-6137,0,
10,322,25.4205,1525.23,Chainring,CR-7833,0,
11,438,41.223,123.669,Lock Nut 5,LN-1024,0,
11,439,45.4965,136.4895,Lock Nut 6,LN-1032,0,
11,440,41.223,123.669,Lock Nut 16,LN-1213,0,
11,441,39.123,117.369,Lock Nut 17,LN-1220,0,
12,941,62.9895,34644.225,Touring Pedal,PD-T852,1,
13,320,45.3705,136.1115,Chainring Bolts,CB-2903,0,
13,321,40.488,121.464,Chainring Nut,CN-6137,0,
13,322,26.3655,1581.93,Chainring,CR-7833,0,
14,504,48.762,146.286,Cup-Shaped Race,RA-2345,0,
15,497,34.188,102.564,Pinch Bolt,PB-6109,0,
16,323,50.2635,150.7905,Crown Race,CR-9981,0,
17,523,10.731,5902.05,LL Spindle/Axle,SD-2342,0,
17,524,14.1225,7767.375,HL Spindle/Axle,SD-9872,0,
18,492,50.2635,3015.81,Paint - Black,PA-187B,0,
18,493,57.1515,3429.09,Paint - Red,PA-361R,0,
18,494,53.2035,3192.21,Paint - Silver,PA-529S,0,
18,495,63.693,3821.58,Paint - Blue,PA-632U,0,
18,496,48.909,2934.54,Paint - Yellow,PA-823Y,0,
19,908,21.0945,11601.975,LL Mountain Seat/Saddle,SE-M236,1,
19,909,30.4395,16741.725,ML Mountain Seat/Saddle,SE-M798,1,
19,910,40.9395,22516.725,HL Mountain Seat/Saddle,SE-M940,1,
19,911,21.0945,11601.975,LL Road Seat/Saddle,SE-R581,1,
19,912,30.4395,16741.725,ML Road Seat/Saddle,SE-R908,1,
20,506,9.198,551.88,Reflector,RF-9198,0,
21,351,5.775,3176.25,Front Derailleur Cage,FC-3982,0,
21,352,1.155,635.25,Front Derailleur Linkage,FL-2301,0,
21,679,5.775,3176.25,Rear Derailleur Cage,RC-0291,0,
22,507,23.394,12866.7,LL Mountain Rim,RM-M464,0,
22,508,27.6465,15205.575,ML Mountain Rim,RM-M692,0,
23,355,1.365,750.75,Guide Pulley,GP-0982,0,
23,940,62.9895,34644.225,HL Road Pedal,PD-R853,1,
23,535,3.486,1917.3,Tension Pulley,TP-0923,0,
24,351,6.195,3407.25,Front Derailleur Cage,FC-3982,0,
24,352,1.47,808.5,Front Derailleur Linkage,FL-2301,0,
25,507,22.1655,12191.025,LL Mountain Rim,RM-M464,0,
25,508,29.2845,16106.475,ML Mountain Rim,RM-M692,0,
26,491,19.9815,59.9445,HL Nipple,NI-9522,0,
27,341,41.1705,123.5115,Flat Washer 1,FW-1000,0,
27,342,39.0705,117.2115,Flat Washer 6,FW-1200,0,
27,343,43.344,130.032,Flat Washer 2,FW-1400,0,
27,344,39.0705,117.2115,Flat Washer 9,FW-3400,0,
27,345,36.9705,110.9115,Flat Washer 4,FW-3800,0,
27,346,41.244,123.732,Flat Washer 3,FW-5160,0,
28,935,31.4895,17319.225,LL Mountain Pedal,PD-M282,1,
28,936,48.2895,26559.225,ML Mountain Pedal,PD-M340,1,
29,375,43.344,130.032,Hex Nut 5,HN-1024,0,
29,376,39.0705,117.2115,Hex Nut 6,HN-1032,0,
29,377,36.9705,110.9115,Hex Nut 16,HN-1213,0,
29,378,41.244,123.732,Hex Nut 17,HN-1220,0,
29,379,36.9705,110.9115,Hex Nut 7,HN-1224,0,
30,476,15.8865,8737.575,Metal Angle,MA-7075,0,
30,477,11.6655,6416.025,Metal Bar 1,MB-2024,0,
30,478,11.088,6098.4,Metal Bar 2,MB-6061,0,
31,402,47.4705,142.4115,Keyed Washer,KW-4091,0,
32,510,23.079,12693.45,LL Road Rim,RM-R436,0,
32,511,29.274,16100.7,ML Road Rim,RM-R600,0,
33,403,45.3705,136.1115,External Lock Washer 3,LE-1000,0,
33,404,49.644,148.932,External Lock Washer 4,LE-1200,0,
33,405,45.3705,136.1115,External Lock Washer 9,LE-1201,0,
34,525,2.3205,1276.275,LL Shell,SH-4562,0,
35,526,3.6435,2003.925,HL Shell,SH-9312,0,
36,908,21.0945,11601.975,LL Mountain Seat/Saddle,SE-M236,1,
36,909,30.4395,16741.725,ML Mountain Seat/Saddle,SE-M798,1,
36,913,40.9395,22516.725,HL Road Seat/Saddle,SE-R995,1,
37,356,3.6015,216.09,LL Grip Tape,GT-0820,0,
37,357,3.9795,238.77,ML Grip Tape,GT-1209,0,
38,935,31.4895,17319.225,LL Mountain Pedal,PD-M282,1,
38,936,48.2895,26559.225,ML Mountain Pedal,PD-M340,1,
39,524,12.9675,7132.125,HL Spindle/Axle,SD-9872,0,
40,911,21.0945,11601.975,LL Road Seat/Saddle,SE-R581,1,
40,912,30.4395,16741.725,ML Road Seat/Saddle,SE-R908,1,
41,910,40.9395,22516.725,HL Mountain Seat/Saddle,SE-M940,1,
42,937,62.9895,34644.225,HL Mountain Pedal,PD-M562,1,
43,463,47.523,142.569,Lock Washer 4,LW-1000,0,
43,464,45.423,136.269,Lock Washer 5,LW-1200,0,
43,465,49.6965,149.0895,Lock Washer 10,LW-1201,0,
44,462,47.6805,143.0415,Lower Head Race,LR-8520,0,
45,510,23.4045,12872.475,LL Road Rim,RM-R436,0,
45,511,27.867,15326.85,ML Road Rim,RM-R600,0,
46,527,6.7515,3713.325,Spokes,SK-9283,0,
47,938,31.4895,17319.225,LL Road Pedal,PD-R347,1,
47,939,48.2895,26559.225,ML Road Pedal,PD-R563,1,
47,509,36.2775,19952.625,HL Mountain Rim,RM-M823,0,
48,492,50.7465,3044.79,Paint - Black,PA-187B,0,
48,493,58.2645,3495.87,Paint - Red,PA-361R,0,
48,494,50.7465,3044.79,Paint - Silver,PA-529S,0,
48,495,62.9265,3775.59,Paint - Blue,PA-632U,0,
48,496,49.6545,2979.27,Paint - Yellow,PA-823Y,0,
49,523,10.3845,5711.475,LL Spindle/Axle,SD-2342,0,
50,422,47.6805,143.0415,Thin-Jam Lock Nut 9,LJ-1213,0,
50,423,45.5805,136.7415,Thin-Jam Lock Nut 10,LJ-1220,0,
50,424,49.854,149.562,Thin-Jam Lock Nut 1,LJ-1420,0,
51,490,12.7155,38.1465,LL Nipple,NI-4127,0,
51,491,19.9395,59.8185,HL Nipple,NI-9522,0,
52,528,38.157,114.471,Seat Lug,SL-0931,0,
53,505,44.2155,132.6465,Cone-Shaped Race,RA-7490,0,
54,938,31.4895,17319.225,LL Road Pedal,PD-R347,1,
54,939,48.2895,26559.225,ML Road Pedal,PD-R563,1,
